학교ID,학교명,학교급구분,위도,경도,시도명,시군구명,읍면동명,현행_농어촌,α1_학원수,β1_최단광역접근시간,β2_광역접근가능시설수,γ1_학령인구10대,δ1_사교육비,δ3_참여율,α1_학원수_norm,β1_최단광역접근시간_norm,β2_광역접근가능시설수_norm,γ1_학령인구10대_norm,δ1_사교육비_norm,δ3_참여율_norm,E_s,G_괴리도
B000012090,강일고등학교,고등학교,37.5638281,127.1779035,서울특별시,강동구,강일동,0,1417,43.41,0.0,3769,76.7,72.8,0.4091827894888825,0.68950306085704,0.0,0.2467915138816134,0.9999999999999999,0.7090301003344479,0.5090845774269973,0.491
B000012808,둔내고등학교,고등학교,37.51082915,128.2127223,강원특별자치도,횡성군,둔내면,1,43,76.13,0.41,316,31.0,52.2,0.012416979497545482,0.3949405833633417,0.07180385288966724,0.02069146149816658,0.051867219917012375,0.02006688963210701,0.09529783113297338,0.095
B000012635,이천양정여자고등학교,고등학교,37.2846442,127.436821,경기도,이천시,관고동,0,580,23.0,0.75,834,57.3,67.5,0.1674848397343344,0.8732445084623695,0.13134851138353765,0.05460974332111053,0.5975103734439834,0.5317725752508362,0.3926617585993619,0.607
B000008909,두암중학교,중학교,35.16620771,126.9351485,광주광역시,북구,두암동,0,1326,29.98,0.5,571,37.8,68.3,0.38290499566849556,0.810406913935902,0.08756567425569177,0.03738868517548455,0.19294605809128618,0.5585284280936451,0.3449567925367508,0.655
B000010575,장흥회덕중학교,중학교,34.47720121,126.9358307,전라남도,장흥군,회진면,1,28,27.24,0.45,128,33.6,63.7,0.008085475021657523,0.8350738206697875,0.0788091068301226,0.008381351492928235,0.10580912863070535,0.4046822742474918,0.24014019281544882,0.24
B000008506,가야여자중학교,중학교,35.14759698,129.0364936,부산광역시,부산진구,가야동,0,899,25.13,2.36,1469,47.4,72.2,0.2596015015882183,0.8540691393590205,0.4133099824868651,0.0961891042430592,0.39211618257261405,0.6889632107023413,0.4507081868253531,0.549
B000008251,오산중학교,중학교,37.52358051,127.0008872,서울특별시,용산구,보광동,0,248,26.66,2.79,301,66.4,81.5,0.07161420733468092,0.8402952826791501,0.4886164623467601,0.019709271870089053,0.7863070539419087,0.9999999999999998,0.5344237130287648,0.466
B000008148,성서중학교,중학교,37.5627873,126.9079522,서울특별시,마포구,성산동,0,1166,27.56,1.18,1570,66.4,81.5,0.336702281259024,0.8321930140439323,0.20665499124343256,0.10280251440544788,0.7863070539419087,0.9999999999999998,0.5441099758156241,0.456
B000008118,은평중학교,중학교,37.61061869,126.9083472,서울특별시,은평구,구산동,0,1085,35.26,0.05,2270,66.4,81.5,0.313312157089229,0.7628736046092907,0.008756567425569177,0.14863803038239917,0.7863070539419087,0.9999999999999998,0.503314568908066,0.497
B000009000,동명중학교,중학교,36.30838794,127.4387263,대전광역시,중구,석교동,0,478,29.1,0.62,803,43.8,71.5,0.13803060929829628,0.818329132157004,0.1085814360770578,0.05257988475641698,0.31742738589211605,0.6655518394648829,0.3500833812742956,0.65
B000010280,이리남성여자중학교,중학교,35.95635944,126.9659967,전북특별자치도,익산시,신동,0,630,15.54,2.0,827,37.4,64.9,0.18192318798729426,0.9404033129276197,0.3502626970227671,0.05415138816134102,0.18464730290456421,0.44481605351170583,0.35936732375254865,0.641
B000013592,서귀포여자고등학교,고등학교,33.24349575,126.5307976,제주특별자치도,서귀포시,호근동,0,456,22.3,0.87,1421,37.6,58.5,0.13167773606699396,0.8795462729564278,0.15236427320490367,0.09304609743321111,0.1887966804979253,0.23076923076923062,0.27936671515478206,0.721
B000009676,광탄중학교,중학교,37.78194408,126.8473214,경기도,파주시,광탄면,1,1331,101.71,0.0,515,48.2,75.6,0.38434883049379154,0.1646561037090385,0.0,0.03372184389732845,0.4087136929460581,0.8026755852842806,0.29901934272174946,0.299
B000008876,인천당하중학교,중학교,37.59060591,126.6695556,인천광역시,서구,당하동,0,1793,64.9,0.0,3929,44.6,71.0,0.5177591683511407,0.49603889088944897,0.0,0.2572682032477737,0.3340248962655602,0.6488294314381269,0.37565343169867504,0.624
B000011946,태릉고등학교,고등학교,37.61916383,127.0855576,서울특별시,중랑구,묵동,0,558,16.39,2.1,2005,76.7,72.8,0.16113196650303208,0.9327511703276917,0.36777583187390545,0.1312860136196962,0.9999999999999999,0.7090301003344479,0.5503291804431288,0.45
B000013460,용문고등학교,고등학교,37.58869033,127.0246608,서울특별시,성북구,안암동2가,0,980,23.58,2.98,885,76.7,72.8,0.2829916257580133,0.8680230464530069,0.521891418563923,0.057949188056574126,0.9999999999999999,0.7090301003344479,0.5733142298609941,0.427
B000023743,가수중학교,중학교,37.14522236,127.0536825,경기도,오산시,가수동,0,552,28.88,1.36,2689,48.2,75.6,0.15939936471267688,0.8203096867122794,0.23817863397548164,0.17607386066003144,0.4087136929460581,0.8026755852842806,0.43422513738180135,0.566
B000013411,함양고등학교,고등학교,35.51445963,127.7226856,경상남도,함양군,함양읍,1,59,18.38,0.89,1643,35.1,58.3,0.017037250938492638,0.9148361541231544,0.15586690017513136,0.10758250392875852,0.13692946058091282,0.22408026755852828,0.25938875621749635,0.259
B000012504,동안고등학교,고등학교,37.39035669,126.9661064,경기도,안양시 동안구,평촌동,0,0,33.21,0.12,3267,57.3,67.5,0.0,0.7813287720561757,0.021015761821366025,0.2139209009952855,0.5975103734439834,0.5317725752508362,0.3575913972612744,0.642
B000009582,일산중학교,중학교,37.68897122,126.7683384,경기도,고양시 일산서구,일산동,0,0,38.47,0.0,2042,48.2,75.6,0.0,0.7339755131436803,0.0,0.13370874803562074,0.4087136929460581,0.8026755852842806,0.3465122565682732,0.653
B000012760,성수고등학교,고등학교,37.87982056,127.7249886,강원특별자치도,춘천시,낙원동,0,697,18.23,3.65,923,31.0,52.2,0.20127057464626047,0.9161865322290241,0.6392294220665499,0.060437401781037195,0.051867219917012375,0.02006688963210701,0.31484300671199844,0.685
B000010117,한솔중학교,중학교,36.47616935,127.2549804,세종특별자치시,한솔동,975,0,1726,28.46,0.99,0,48.4,75.7,0.4984117816921744,0.8240907454087144,0.1733800350262697,0.0,0.41286307053941906,0.806020066889632,0.4524609499260349,0.548
B000012514,과천고등학교,고등학교,37.43085587,126.9970303,경기도,과천시,별양동,0,294,40.64,0.0,1377,57.3,67.5,0.08489748772740399,0.7144400432120994,0.0,0.09016500785751703,0.5975103734439834,0.5317725752508362,0.33646424791530666,0.664
B000012109,부산동고등학교,고등학교,35.15326954,129.0712527,부산광역시,부산진구,전포동,0,899,22.47,1.62,1469,44.0,59.9,0.2596015015882183,0.8780158444364422,0.28371278458844135,0.0961891042430592,0.32157676348547715,0.277591973244147,0.35278132859763084,0.647
B000009683,생연중학교,중학교,37.89686651,127.0496665,경기도,동두천시,생연동,0,121,22.44,0.96,995,48.2,75.6,0.03494080277216287,0.8782859200576161,0.1681260945709282,0.06515191199580933,0.4087136929460581,0.8026755852842806,0.39298233460447585,0.607
B000010103,부석중학교,중학교,36.70916539,126.3937775,충청남도,서산시,부석면,1,353,58.63,0.0,163,35.6,67.5,0.10193473866589663,0.5524846957148001,0.0,0.010673127291775799,0.14730290456431538,0.5317725752508362,0.224028006914604,0.224
B000008542,유락여자중학교,중학교,35.21454862,129.0762292,부산광역시,동래구,온천동,0,1140,27.44,1.25,2813,47.4,72.2,0.3291943401674849,0.833273316528628,0.21891418563922943,0.18419329491880568,0.39211618257261405,0.6889632107023413,0.4411090884215172,0.559
B000012567,서해고등학교,고등학교,37.36050976,126.7239075,경기도,시흥시,정왕동,0,1462,38.35,0.02,2139,57.3,67.5,0.42217730291654637,0.735055815628376,0.0035026269702276708,0.14006024096385544,0.5975103734439834,0.5317725752508362,0.40501315586230413,0.595
B000010187,광시중학교,중학교,36.54913524,126.7722719,충청남도,예산군,광시면,1,105,56.25,0.82,87,35.6,67.5,0.030320531331215712,0.5739106949945985,0.1436077057793345,0.005696699842849659,0.14730290456431538,0.5317725752508362,0.23876851862719162,0.239
B000009783,황지중학교,중학교,37.16683116,128.9869546,강원특별자치도,태백시,황지동,0,43,18.95,2.0,735,35.2,66.3,0.012416979497545482,0.9097047173208499,0.3502626970227671,0.04812729177579885,0.13900414937759342,0.49163879598662175,0.32519243849686275,0.675
